iter	Logloss
0	0.6811918306
1	0.6710537789
2	0.6588194423
3	0.6465393513
4	0.635435469
5	0.6253847289
6	0.6144707205
7	0.6036117025
8	0.5950349273
9	0.5842915712
10	0.5747275394
11	0.5659213088
12	0.558452235
13	0.5501417997
14	0.541401901
15	0.5338412661
16	0.5271686237
17	0.5200912667
18	0.514116886
19	0.5073215878
20	0.5003465532
21	0.4936414697
22	0.4871541492
23	0.4809477012
24	0.47444872
25	0.4675460904
26	0.4618283789
27	0.4560442496
28	0.4507281372
29	0.4448725169
30	0.4391364353
31	0.434661728
32	0.4296246919
33	0.4244745725
34	0.4192899333
35	0.4137170224
36	0.4092006002
37	0.4046923744
38	0.3994666483
39	0.3955316763
40	0.3909248746
41	0.3870688319
42	0.3832545381
43	0.379635758
44	0.3758009708
45	0.3724615428
46	0.3696378724
47	0.366193149
48	0.3632438168
49	0.3611164622
