iter	Passed	Remaining
0	4	200
1	7	183
2	11	184
3	15	174
4	18	168
5	21	161
6	24	153
7	28	148
8	31	143
9	34	137
10	37	133
11	40	129
12	43	125
13	46	120
14	49	116
15	53	114
16	57	111
17	62	110
18	67	109
19	71	106
20	74	103
21	78	100
22	82	96
23	86	93
24	89	89
25	92	85
26	96	82
27	99	78
28	103	74
29	106	71
30	110	67
31	114	64
32	117	60
33	121	57
34	125	53
35	129	50
36	133	46
37	136	43
38	140	39
39	143	35
40	147	32
41	150	28
42	154	25
43	157	21
44	161	17
45	165	14
46	169	10
47	172	7
48	176	3
49	180	0
