iter	RMSE
0	0.4864794073
1	0.4739813936
2	0.4619442512
3	0.4489797563
4	0.4383616249
5	0.4267971212
6	0.4163642678
7	0.4055670673
8	0.396512609
9	0.3875495174
10	0.3784248255
11	0.3706228748
12	0.3623673694
13	0.3551922359
14	0.3485910127
15	0.3425301151
16	0.3376904462
17	0.3317381546
18	0.3263182083
19	0.3204262552
20	0.3154053492
21	0.3105144367
22	0.3057045363
23	0.3007827702
24	0.2968335563
25	0.2925357539
26	0.2886189555
27	0.2853164645
28	0.2821130378
29	0.27846451
30	0.2754543209
31	0.2719457321
32	0.2695138677
33	0.2670289701
34	0.2642876683
35	0.2625479323
36	0.2603657656
37	0.2580554211
38	0.2566679879
39	0.2546046915
40	0.2526309107
41	0.2510014959
42	0.2491388168
43	0.247566541
44	0.2456860618
45	0.2443411119
46	0.2430264122
47	0.2416611584
48	0.2402121125
49	0.2392832541
50	0.2382079288
51	0.2370744891
52	0.2361458361
53	0.2351553094
54	0.2339121937
55	0.232784319
56	0.2321537473
57	0.231473976
58	0.2307633323
59	0.2302622176
60	0.2292896956
61	0.2283152234
62	0.2275635794
63	0.2268564489
64	0.225902173
65	0.225527788
66	0.2249120527
67	0.2243143859
68	0.2235406143
69	0.2232807151
70	0.2226101976
71	0.2220616457
72	0.2217265378
73	0.221110898
74	0.2208724181
75	0.2205774989
76	0.2199623739
77	0.219513851
78	0.2188961005
79	0.2187171249
80	0.2185078344
81	0.2179494057
82	0.2175733938
83	0.2174323793
84	0.2169127651
85	0.2166684123
86	0.2165224719
87	0.2161950305
88	0.2160883461
89	0.2157633252
90	0.215612987
91	0.2154213433
92	0.2150952673
93	0.2149266933
94	0.2144342773
95	0.2141304388
96	0.2139078267
97	0.213678245
98	0.2134363984
99	0.2133368262
100	0.213006538
101	0.2128015447
102	0.212632644
103	0.2124808569
104	0.2123746218
105	0.2122144643
106	0.2119364796
107	0.2114367824
108	0.2113747108
109	0.2111419984
110	0.2109653214
111	0.2108098919
112	0.2105600353
113	0.2102804033
114	0.2100067789
115	0.2097108426
116	0.2094499819
117	0.2091538712
118	0.2088891672
119	0.2087759992
120	0.2085886172
121	0.2083937725
122	0.2082612339
123	0.2079554705
124	0.2077031995
125	0.2075950972
126	0.2074423533
127	0.2072998072
128	0.2072103649
129	0.2070123344
130	0.206834877
131	0.2065729359
132	0.2064179278
133	0.206309501
134	0.2060766286
135	0.2059488575
136	0.2058609766
137	0.2056144734
138	0.2053664769
139	0.2052966805
140	0.2051811261
141	0.2049954626
142	0.204895157
143	0.2047597963
144	0.2046800936
145	0.2045822025
146	0.2044345341
147	0.2043018725
148	0.203899407
149	0.2037759419
150	0.2036992497
151	0.2036514949
152	0.2035139159
153	0.2033639858
154	0.2032499678
155	0.2031576542
156	0.2030963758
157	0.2029472696
158	0.2026663252
159	0.2025684265
160	0.2023971713
161	0.2022936298
162	0.2020888711
163	0.20200519
164	0.2019741157
165	0.2018347461
166	0.2017511538
167	0.2016274165
168	0.2014343364
169	0.2013922777
170	0.2013408354
171	0.2012643053
172	0.2009938464
173	0.2008190559
174	0.2007184047
175	0.2004977258
176	0.2003464368
177	0.2001827417
178	0.2000673659
179	0.1999840335
180	0.1997173811
181	0.1995342389
182	0.1994615319
183	0.1993367701
184	0.1991465479
185	0.198859703
186	0.1987811443
187	0.1984461501
188	0.1983240058
189	0.1981811689
190	0.198066701
191	0.1979534218
192	0.197902498
193	0.1977066182
194	0.1973999778
195	0.1971592282
196	0.1969970292
197	0.1969254256
198	0.1967892821
199	0.1967405616
200	0.1964492245
201	0.1964054619
202	0.1962177754
203	0.1961399732
204	0.1959726627
205	0.1956068346
206	0.1954746728
207	0.1953979175
208	0.195259399
209	0.1950980237
210	0.195067453
211	0.1949189078
212	0.1946557779
213	0.1944082547
214	0.1942798201
215	0.1941266164
216	0.1940581464
217	0.193988436
218	0.1938271398
219	0.1936867444
220	0.1936425442
221	0.19348284
222	0.1934220838
223	0.1932433431
224	0.1930899322
225	0.1929986405
226	0.1928657578
227	0.1927534117
228	0.1926317897
229	0.1925188806
230	0.1924538572
231	0.19239402
232	0.1923272439
233	0.1922220596
234	0.1919672498
235	0.1918185249
236	0.1917337846
237	0.1915621034
238	0.1914054818
239	0.191317935
240	0.1912182321
241	0.1911407262
242	0.1910746762
243	0.1909973068
244	0.1908446699
245	0.1906897782
246	0.1905307818
247	0.1904042962
248	0.1903421573
249	0.1902857799
250	0.1901567163
251	0.1900966396
252	0.1900202661
253	0.1899925664
254	0.1899598503
255	0.1898562058
256	0.1898015806
257	0.1897047283
258	0.1896420955
259	0.1895759517
260	0.1895179633
261	0.1893599489
262	0.1891437655
263	0.1890373401
264	0.1889711185
265	0.1888628521
266	0.1887888802
267	0.1886799235
268	0.1885957296
269	0.1884910765
270	0.1883824147
271	0.1882547578
272	0.1881742758
273	0.1880459721
274	0.1878837415
275	0.1877976528
276	0.1877172473
277	0.1876362825
278	0.1875607365
279	0.1874576783
280	0.1873845283
281	0.1872492102
282	0.1871618883
283	0.1870882722
284	0.1870163712
285	0.1869948027
286	0.1869675781
287	0.186901791
288	0.1867758851
289	0.1867507019
290	0.1866835599
291	0.1865222816
292	0.1864356859
293	0.1863745152
294	0.186250487
295	0.1860276051
296	0.185723698
297	0.1856277631
298	0.1855588063
299	0.1855004002
300	0.1854098931
301	0.1853534603
302	0.1853019944
303	0.1852023909
304	0.1851184087
305	0.184826568
306	0.1847479665
307	0.1847000239
308	0.1846268794
309	0.1845905274
310	0.1845303293
311	0.1845131473
312	0.1844304468
313	0.1843877393
314	0.1843047943
315	0.1840922002
316	0.183910034
317	0.1837406862
318	0.1835534628
319	0.1835015315
320	0.1834512876
321	0.1833738938
322	0.1833020694
323	0.1832556645
324	0.183128439
325	0.1829533648
326	0.1828558486
327	0.1827966511
328	0.182633012
329	0.182527614
330	0.1823373491
331	0.1822788641
332	0.1820749455
333	0.1818768005
334	0.1818049524
335	0.1817901438
336	0.1817679492
337	0.1817449564
338	0.181555811
339	0.1815360181
340	0.181481241
341	0.1814687451
342	0.1814267445
343	0.1813780158
344	0.1812855092
345	0.1812725174
346	0.1810903369
347	0.1809066916
348	0.1808896475
349	0.180813635
350	0.1807724395
351	0.1805995129
352	0.180528191
353	0.1802731963
354	0.1801843239
355	0.1801677344
356	0.1801289325
357	0.1800396334
358	0.1799454618
359	0.1799268943
360	0.1798589371
361	0.1798447019
362	0.1796669156
363	0.1796513002
364	0.1794305507
365	0.1793344499
366	0.1792416444
367	0.1791266528
368	0.1791090342
369	0.1789625096
370	0.17880939
371	0.178645724
372	0.1785776594
373	0.1785324786
374	0.178378107
375	0.1782272027
376	0.1781236082
377	0.1780783769
378	0.177857188
379	0.1778435728
380	0.1776708953
381	0.1775908492
382	0.177500928
383	0.1774890424
384	0.1774794963
385	0.1774348198
386	0.1772983489
387	0.1771543193
388	0.1770186794
389	0.1769036909
390	0.1768612733
391	0.1768192601
392	0.1766193026
393	0.1765540211
394	0.1764652264
395	0.1763882331
396	0.1763358509
397	0.1763094053
398	0.1761799737
399	0.1761379762
400	0.1760931751
401	0.1760522513
402	0.1759709708
403	0.1758937899
404	0.1758465535
405	0.1757083468
