iter	Passed	Remaining
0	2	2527
1	4	2177
2	5	1932
3	9	2383
4	11	2378
5	14	2339
6	18	2643
7	21	2651
8	23	2596
9	25	2506
10	26	2420
11	28	2348
12	29	2269
13	31	2250
14	33	2216
15	35	2184
16	37	2161
17	39	2146
18	41	2150
19	43	2125
20	45	2118
21	47	2115
22	49	2089
23	51	2077
24	54	2117
25	56	2114
26	58	2092
27	59	2080
28	61	2071
29	63	2052
30	65	2034
31	66	2011
32	67	1990
33	69	1974
34	71	1958
35	73	1981
36	76	1983
37	78	1975
38	79	1956
39	80	1943
40	82	1930
41	84	1923
42	87	1937
43	88	1928
44	90	1912
45	91	1900
46	92	1882
47	94	1869
48	95	1857
49	96	1842
50	98	1827
51	100	1826
52	102	1824
53	103	1811
54	104	1800
55	106	1790
56	107	1777
57	108	1763
58	109	1751
59	111	1739
60	112	1727
61	113	1718
62	115	1722
63	117	1714
64	118	1706
65	120	1699
66	121	1689
67	122	1683
68	124	1676
69	125	1669
70	128	1674
71	130	1676
72	132	1685
73	134	1685
74	136	1677
75	137	1669
76	138	1660
77	139	1651
78	140	1642
79	142	1634
80	143	1627
81	144	1619
82	146	1618
83	148	1623
84	150	1620
85	152	1616
86	153	1611
87	154	1605
88	156	1598
89	157	1591
90	158	1586
91	160	1579
92	161	1577
93	163	1575
94	164	1570
95	166	1565
96	168	1566
97	170	1567
98	171	1561
99	173	1557
100	174	1550
101	175	1545
102	176	1540
103	179	1545
104	180	1541
105	182	1536
106	183	1530
107	184	1525
108	185	1519
109	187	1514
110	188	1508
111	189	1503
112	190	1497
113	192	1497
114	194	1497
115	195	1492
116	197	1487
117	198	1482
118	199	1477
119	200	1472
120	202	1467
121	203	1462
122	204	1457
123	205	1452
124	207	1449
125	209	1451
126	211	1451
127	212	1447
128	213	1443
129	215	1439
130	216	1435
131	217	1431
132	218	1427
133	220	1423
134	221	1419
135	222	1414
136	224	1416
137	226	1416
138	228	1412
139	229	1410
140	230	1405
141	231	1401
142	233	1397
143	234	1393
144	235	1388
145	236	1384
146	237	1380
147	239	1380
148	242	1382
149	243	1380
150	246	1383
151	247	1380
152	248	1377
153	250	1373
154	251	1370
155	252	1366
156	253	1362
157	255	1362
158	258	1367
159	259	1364
160	261	1361
161	262	1358
162	263	1354
163	265	1351
164	266	1346
165	267	1342
166	268	1338
167	269	1335
168	272	1338
169	273	1334
170	275	1334
171	278	1338
172	279	1335
173	280	1333
174	282	1330
175	283	1327
176	284	1323
177	286	1323
178	288	1322
179	289	1320
180	291	1318
181	292	1316
182	294	1313
183	295	1312
184	297	1311
185	298	1308
186	300	1306
187	303	1309
188	305	1309
189	306	1307
190	308	1304
191	309	1302
192	310	1299
193	312	1296
194	313	1293
195	314	1291
196	316	1288
197	318	1288
198	320	1289
199	322	1289
200	323	1287
201	325	1284
202	326	1281
203	327	1278
204	329	1276
205	330	1273
206	331	1271
207	333	1271
208	335	1268
209	336	1266
210	337	1263
211	339	1261
212	340	1258
213	341	1255
214	343	1252
215	344	1250
216	345	1247
217	347	1244
218	348	1243
219	349	1240
220	351	1238
221	352	1234
222	353	1232
223	354	1229
224	356	1226
225	357	1223
226	358	1220
227	359	1218
228	361	1215
229	362	1212
230	363	1210
231	365	1209
232	366	1207
233	369	1208
234	370	1206
235	372	1204
236	373	1201
237	374	1199
238	375	1196
239	377	1194
240	378	1192
241	380	1191
242	382	1190
243	383	1188
244	384	1185
245	386	1183
246	387	1180
247	388	1178
248	389	1175
249	390	1172
250	392	1170
251	393	1167
252	394	1165
253	396	1165
254	398	1165
255	400	1163
256	401	1160
257	402	1158
258	404	1156
259	405	1153
260	406	1150
261	407	1148
262	408	1145
263	410	1143
264	411	1142
265	414	1142
266	415	1141
267	417	1139
268	418	1136
269	419	1134
270	420	1131
271	421	1129
272	423	1127
273	424	1124
274	425	1122
275	427	1121
276	429	1120
277	430	1118
278	432	1116
279	433	1114
280	434	1112
281	436	1110
282	437	1107
283	438	1105
284	439	1103
285	441	1101
286	442	1099
287	444	1099
288	446	1098
289	447	1095
290	448	1093
291	450	1091
292	451	1089
293	452	1086
294	453	1084
295	454	1082
296	456	1079
297	457	1077
298	459	1078
299	461	1077
300	463	1075
301	464	1074
302	466	1071
303	467	1069
304	468	1067
305	469	1065
306	471	1063
307	472	1060
308	474	1060
309	476	1060
310	478	1059
311	479	1057
312	481	1057
313	483	1056
314	485	1054
315	486	1052
316	487	1051
317	489	1049
318	491	1048
319	492	1047
320	494	1046
321	496	1045
322	497	1043
323	499	1041
324	500	1039
325	501	1037
326	502	1035
327	504	1032
328	506	1032
329	508	1031
330	510	1031
331	512	1030
332	513	1028
333	514	1026
334	515	1024
335	517	1022
336	518	1019
337	519	1017
338	521	1016
339	523	1016
340	526	1016
341	527	1014
342	528	1012
343	530	1010
344	531	1008
345	532	1006
346	533	1004
347	535	1002
348	536	1001
349	538	1000
350	541	1000
351	543	999
352	545	1000
353	547	999
354	548	997
355	550	995
356	552	995
357	555	995
358	556	994
359	558	992
360	561	993
361	562	991
362	563	989
363	565	987
364	566	986
365	568	985
366	571	985
367	574	985
368	575	984
369	577	982
370	578	980
371	579	978
372	580	976
373	582	974
374	583	972
375	586	972
376	588	972
377	589	970
378	591	968
379	592	966
380	593	964
381	594	962
382	596	960
383	597	958
384	599	957
385	601	956
386	603	955
387	605	954
388	606	952
389	607	950
390	609	948
391	610	946
392	611	944
393	612	942
394	614	941
395	616	940
396	619	940
397	621	939
398	622	937
399	623	935
400	625	933
401	626	931
402	627	929
403	628	927
404	630	926
405	633	926
406	635	925
407	636	924
408	638	922
409	639	920
410	640	918
411	641	916
412	643	914
413	644	912
414	646	910
415	648	910
416	650	910
417	652	908
418	654	907
419	655	905
420	656	903
421	657	901
422	659	899
423	660	896
424	662	896
425	664	895
426	666	894
427	668	893
428	669	891
429	671	889
430	672	887
431	673	885
432	674	883
433	676	882
434	678	880
435	680	880
436	683	880
437	684	878
438	686	876
439	687	874
440	688	872
441	689	870
442	691	869
443	693	868
444	695	866
445	697	866
446	700	866
447	701	864
448	703	862
449	704	860
450	705	859
451	706	857
452	708	855
453	711	855
454	713	854
455	715	853
456	716	851
457	717	849
458	719	847
459	720	845
460	721	843
461	723	842
462	724	840
463	727	839
464	729	839
465	731	837
466	732	836
467	734	834
468	735	832
469	736	830
470	738	828
471	740	827
472	742	827
473	745	826
474	746	825
475	748	823
476	749	822
477	751	820
478	752	818
479	754	817
480	757	817
481	759	815
482	761	815
483	763	814
484	765	812
485	766	811
486	768	809
487	770	807
488	771	806
489	774	805
490	776	805
491	778	803
492	780	802
493	781	800
494	783	798
495	785	797
496	787	797
497	789	795
498	791	794
499	793	793
500	795	792
501	796	790
502	798	788
503	800	787
