gender,race_ethnicity,level_of_education,language_proficiency,training_manuals,hr_interview_score,x_ray_module_assessment_score,etd_module_assessment_score,phy_module_assessment_score,dg_module_assessment_score,tsa_test_score,cbp_test_score,Certification_exam_score
male,group A,high school,fluent,none,63,74,63,69,66,63,62,63
female,group E,some college,intermediate,provided,83,95,83,89,89,88,85,75
male,group A,some college,fluent,none,46,58,46,52,47,43,43,53
female,group E,some college,fluent,provided,71,83,71,77,76,74,73,66
male,group E,some college,fluent,none,68,80,68,74,72,72,65,68
male,group B,high school,fluent,none,57,68,57,63,59,55,54,62
female,group E,some college,intermediate,provided,50,62,50,56,56,55,54,42
female,group D,some high school,fluent,none,59,70,59,65,62,58,59,59
male,group C,high school,fluent,none,68,80,68,74,71,67,67,71
male,group C,some college,fluent,provided,91,100,91,97,92,86,90,98
female,group C,high school,fluent,provided,97,100,97,100,102,100,99,92
female,group E,high school,intermediate,provided,97,100,97,100,102,100,100,92
female,group B,high school,fluent,provided,83,95,83,89,88,82,89,77
female,group C,some college,intermediate,none,82,94,82,88,88,83,88,76
male,group B,some high school,fluent,none,69,80,69,75,71,68,67,72
male,group B,high school,intermediate,none,71,83,71,77,76,77,70,66
female,group D,high school,intermediate,none,71,83,71,77,77,73,78,63
female,group D,,intermediate,,53,65,53,59,59,56,57,46
male,group D,high school,fluent,none,48,60,48,54,54,52,51,41
female,group C,some college,fluent,provided,80,85,75,81,79,72,76,70
female,group D,some high school,fluent,none,80,92,80,86,86,86,82,73
female,group D,high school,fluent,none,67,79,67,73,73,70,73,59
female,group B,associate's degree,intermediate,provided,86,98,86,92,92,94,87,76
female,group B,some high school,fluent,none,79,92,79,85,87,89,82,67
male,group D,high school,intermediate,provided,69,80,69,75,71,68,66,73
female,group D,some college,fluent,none,86,98,86,92,92,90,89,80
male,group C,high school,intermediate,none,47,59,47,53,53,56,47,37
female,group B,high school,intermediate,none,81,93,81,87,86,85,82,75
male,group A,some college,intermediate,none,58,70,58,64,62,60,57,58
female,group D,some high school,fluent,none,81,93,81,87,87,84,85,73
female,group D,high school,fluent,none,80,91,80,86,84,81,80,78
female,group E,some college,fluent,none,73,85,73,79,78,76,75,67
male,group A,high school,intermediate,none,66,78,66,72,71,72,65,62
male,group B,some college,intermediate,provided,76,87,76,82,80,77,76,74
female,group C,some high school,fluent,none,56,68,56,62,62,63,56,49
male,group C,high school,intermediate,none,55,66,55,61,57,53,52,59
female,group D,some college,fluent,none,49,64,49,55,69,74,74,
male,group D,some college,fluent,none,82,94,82,88,86,82,84,81
male,group C,high school,fluent,none,73,71,73,,75,72,69,79
female,group E,some college,fluent,none,96,107,96,100,98,92,97,100
female,group B,high school,fluent,none,73,85,73,79,79,81,73,65
female,group D,associate's degree,fluent,none,79,91,79,85,84,81,83,74
male,group A,high school,fluent,none,71,82,71,77,72,67,68,77
male,group D,high school,intermediate,,47,58,47,53,49,42,48,50
male,group B,associate's degree,fluent,none,82,93,82,88,83,85,73,87
female,group B,,fluent,none,83,95,83,89,87,86,83,80
male,group B,associate's degree,fluent,none,48,59,48,54,47,42,41,61
female,group B,high school,fluent,provided,65,77,65,71,71,70,68,58
female,group B,some high school,fluent,none,69,80,69,75,72,64,72,70
female,group C,high school,intermediate,none,55,68,55,61,63,62,61,43
female,group C,high school,fluent,none,75,87,75,81,78,76,74,76
male,group C,high school,intermediate,provided,70,81,70,76,73,66,72,72
female,group C,some college,fluent,none,89,101,89,95,94,90,94,82
male,group A,some college,intermediate,provided,50,62,50,56,54,47,54,50
male,group A,high school,fluent,none,49,60,49,55,50,43,47,57
male,group C,associate's degree,intermediate,,50,62,50,56,54,51,51,49
female,group D,some college,fluent,,54,66,54,60,59,58,54,51
female,group A,some high school,intermediate,none,41,53,41,47,46,43,43,38
female,group D,high school,fluent,none,65,76,65,71,68,67,62,65
female,group C,high school,fluent,provided,60,72,60,66,66,61,66,52
male,group C,high school,fluent,none,64,75,64,70,65,60,61,71
female,group B,high school,fluent,none,68,80,68,74,73,72,70,61
male,group B,high school,fluent,provided,49,60,49,55,51,49,46,52
female,group E,some college,intermediate,none,56,68,56,62,60,58,57,53
